Vegetable,Calories,Protein (g),Carbs (g),Fat (g),Fiber (g),Vitamin C (mg),Iron (mg)
Acorn Squash,284.0,6.0,23.5,10.15,9.5,80.8,2.065
Artichoke,53.0,2.5,21.05,7.1,0.5,52.3,0.44
Asparagus,96.0,2.2,34.1,2.7,10.7,73.1,0.22
Avocados,164.0,0.6,32.9,8.3,10.3,78.9,1.43
Beets,200.0,4.3,19.5,2.6,9.3,121.8,0.35
Black Beans,94.0,0.7,23.3,14.3,6.4,31.4,1.69
Blackeye Peas,39.0,4.6,16.8,0.4,8.0,73.1,0.74
Broccoli Florets,16.0,4.4,37.4,10.3,5.7,99.8,3.31
Broccoli Heads,20.0,8.7,16.7,7.7,2.1,73.1,1.42
Broccoli,254.0,9.6,21.05,12.5,7.8,97.9,1.4
Brussels Sprouts,186.5,0.6,27.9,5.0,6.9,57.2,4.61
Butternut Squash,297.0,4.6,20.1,10.4,4.1,126.1,4.62
"Cabbage, Green",27.0,4.6,21.05,10.5,11.0,40.4,2.56
"Cabbage, Red",252.0,8.8,38.0,5.5,10.9,109.4,2.065
"Cabbage, Sauerkraut",186.5,4.0,17.2,16.8,3.0,57.1,1.26
"Carrots, Cooked Whole",345.0,5.4,29.6,13.2,11.3,73.1,2.05
"Carrots, Raw Whole",219.0,3.1,31.8,9.2,2.4,73.1,2.065
"Carrots, Baby",186.5,9.3,21.05,10.15,1.6,108.5,0.66
Carrots,98.0,1.1,36.6,6.3,5.7,66.3,0.45
Cauliflower Florets,238.0,3.7,3.1,8.3,5.7,48.4,1.7
Cauliflower Heads,106.0,2.3,27.0,19.2,6.7,88.8,3.39
Cauliflower,313.0,8.4,19.5,5.3,11.3,73.1,0.1
"Celery, Trimmed Bunches",233.0,4.6,19.5,17.8,6.2,66.7,3.86
Celery Sticks,215.0,8.8,35.0,13.6,9.2,84.2,3.71
Collard Greens,99.0,1.4,31.5,9.6,5.7,82.3,3.3
Corn,92.0,4.6,37.8,1.0,0.2,73.1,2.065
Cucumbers With Peel,289.0,4.6,24.7,8.4,3.3,29.2,0.8
Cucumbers Without Peel,313.0,4.6,37.2,15.3,1.0,64.1,0.44
Great Northern Beans,44.0,9.4,23.8,10.5,3.5,15.0,0.86
Green Beans,189.0,4.7,15.2,16.7,5.7,44.0,0.87
Green Peas,19.0,7.0,13.8,6.4,0.9,26.1,2.065
Green Peppers,186.5,4.6,5.9,15.0,5.7,68.7,0.36
Kale,139.0,4.3,29.3,15.0,8.2,88.0,2.065
Kidney Beans,186.0,3.2,38.3,10.15,7.0,82.8,3.38
Lentils,186.5,6.0,10.7,6.4,3.2,63.9,0.26
"Lettuce, Iceberg",250.0,5.4,21.05,6.5,8.8,98.0,2.65
"Lettuce, Romaine, Heads",186.5,6.7,1.7,5.6,8.9,124.4,0.52
"Lettuce, Romaine, Hearts",209.0,4.2,14.5,7.8,3.9,105.5,3.12
Lima Beans,92.0,8.6,37.1,12.7,11.2,73.1,2.53
"Mixed Vegetables, Peas & Carrots",240.0,7.0,35.9,15.7,5.0,3.0,1.36
"Mixed Vegetables, Carrots, Peas, Corn, Green Beans",340.0,2.5,35.7,19.3,7.1,5.0,3.99
"Mixed Vegetables, Broccoli, Cauliflower, Carrots",185.0,5.9,5.0,15.5,6.7,16.6,4.09
"Mushrooms, Whole",186.5,2.7,21.0,14.1,0.2,107.5,3.93
"Mushrooms, Sliced",115.0,4.0,34.5,16.8,4.6,110.6,4.48
Mustard Greens,284.0,4.6,21.05,11.5,5.7,107.2,0.67
Navy Beans,262.0,6.0,39.0,10.15,8.3,73.1,2.065
Okra,113.0,0.6,15.6,0.0,3.1,108.7,4.81
Olives,35.0,6.2,37.6,2.6,5.7,73.1,1.13
Onions,344.0,3.3,21.0,2.8,0.0,73.1,0.17
Pinto Beans,32.0,4.1,21.1,3.8,11.7,114.1,4.1
Potatoes,284.0,9.7,21.05,18.6,5.4,73.1,1.14
"Potatoes, French Fries",38.0,1.4,21.05,13.2,9.8,113.1,0.64
Pumpkin,40.0,7.8,21.7,1.9,9.6,24.2,2.065
Radish,297.0,6.4,21.05,10.15,0.8,36.8,1.48
Red Peppers,245.0,0.7,5.7,16.8,6.1,27.3,3.17
"Spinach, Boiled",238.0,5.7,25.7,11.6,7.4,109.4,0.87
"Spinach, Eaten Raw",102.0,9.3,21.05,4.1,0.3,60.0,2.065
Spinach,14.0,3.1,14.6,10.15,5.9,12.1,4.34
Sweet Potatoes,241.0,3.9,21.3,6.3,5.9,5.4,4.67
"Tomatoes, Grape & Cherry",112.0,1.3,15.4,9.1,0.7,47.3,0.98
"Tomatoes, Roma & Plum",186.5,10.0,17.9,18.6,9.5,73.1,0.21
"Tomatoes, Large Round",186.5,7.1,21.05,10.0,3.5,44.0,2.68
Tomatoes,338.0,1.4,2.6,15.4,11.2,73.1,4.47
Turnip Greens,305.0,4.6,2.0,16.0,8.4,104.2,4.53
Zucchini,186.0,4.6,34.7,7.3,4.3,124.9,0.17
