Vegetable,Calories,Protein (g),Carbs (g),Fat (g),Fiber (g),Vitamin C (mg),Iron (mg)
Acorn squash,284,6.0,23.5,,9.5,80.8,
artichoke,53,2.5,,7.1,  0.5 ,52.3,0.44
artichoke,187,2.3,  14.1 ,N/A,5.7,,0.29
Asparagus,  96 ,2.2,34.1,2.7,10.7,73.1,0.22
Asparagus,17,4.5,16.8,  18.5 ,0.3,  114.3 ,1.9
ASPARAGUS,334,unknown,10.4,7.2,4.8,9.0,3.73
Avocados,164,0.6,32.9,8.3,10.3,78.9,1.43
Beets,200,  4.3 ,19.5,2.6,9.3,121.8,0.35
Black beans,94,0.7,23.3,14.3,6.4,31.4,1.69
Black beans,104,2.7,4.9,13.5,1.0,10.7,4.31
Blackeye peas,39,4.6,16.8,0.4,8.0,,0.74
BLACKEYE PEAS,342,7.8,32.1,  6.3 ,2.9,39.7,4.42
Broccoli florets,16,4.4,37.4,10.3,,99.8,3.31
BROCCOLI HEADS,20,8.7,16.7,7.7,2.1,---,1.42
Broccoli,254,9.6,unknown,12.5,7.8,97.9,1.4
brussels sprouts,N/A,0.6,27.9,5.0,6.9,57.2,4.61
BRUSSELS SPROUTS,98,9.4,10.2,9.5,10.4,98.3,2.72
Butternut squash,297,,20.1,10.4,4.1,126.1,  4.62 
"cabbage, green",  27 ,,,10.5,11.0,40.4,2.56
" Cabbage, red  ",252,8.8,38.0,5.5,10.9,109.4,
"Cabbage, sauerkraut",,4.0,17.2,16.8,3.0,57.1,1.26
" carrots, cooked whole  ",345,5.4,  29.6 ,13.2,11.3,,2.05
"Carrots, raw whole",219,3.1,31.8,9.2,2.4,---,
"Carrots, baby",N/A,9.3,N/A,,1.6,108.5,  0.66 
Carrots,98,1.1,36.6,6.3,,66.3,0.45
Carrots,336,9.9,33.4,N/A,5.9,N/A,3.91
Cauliflower florets,238,3.7,3.1,8.3,,48.4,1.7
Cauliflower heads,106,2.3,27.0,19.2,6.7,88.8,3.39
CAULIFLOWER,313,8.4,19.5,5.3,11.3,,0.1
" Celery, trimmed bunches  ",233,unknown,19.5,17.8,6.2,  66.7 ,3.86
Celery sticks,215,8.8,35.0,13.6,9.2,84.2,3.71
 Collard greens  ,99,1.4,  31.5 ,9.6,,82.3,3.3
Collard greens,168,5.3,39.2,16.0,  0.3 ,65.2,2.2
Collard greens,307,9.3,13.9,0.7,3.7,93.2,0.78
CORN,92,,37.8,1.0,0.2,,
Corn,unknown,8.2,32.5,15.4,2.6,125.3,1.58
corn,19,---,24.4,  12.9 ,,  107.8 ,1.73
Cucumbers with peel,289,,24.7,8.4,3.3,29.2,0.8
 Cucumbers without peel  ,313,,  37.2 ,15.3,1.0,64.1,0.44
GREAT NORTHERN BEANS,44,9.4,23.8,10.5,3.5,15.0,0.86
 Great northern beans  ,,5.7,24.0,N/A,3.6,15.2,3.26
GREEN BEANS,189,4.7,  15.2 ,16.7,5.7,44.0,0.87
green beans,306,2.8,  1.1 ,,3.2,,4.62
Green beans,246,,,N/A,10.9,112.7,  0.6 
Green peas,19,7.0,13.8,6.4,0.9,26.1,N/A
 GREEN PEAS  ,93,,3.6,3.9,3.8,,  3.87 
Green peppers,,,5.9,15.0,unknown,68.7,0.36
KALE,139,  4.3 ,29.3,15.0,8.2,88.0,
Kale,unknown,1.4,6.1,  9.0 ,7.5,86.5,3.48
kidney beans,186,3.2,38.3,,7.0,82.8,3.38
Kidney beans,unknown,4.7,11.6,11.5,7.7,125.3,1.66
Lentils,,6.0,10.7,6.4,3.2,63.9,0.26
" Lettuce, iceberg  ",250,5.4,unknown,6.5,8.8,98.0,2.65
" Lettuce, romaine, heads  ",,6.7,1.7,  5.6 ,8.9,124.4,  0.52 
"LETTUCE, ROMAINE, HEARTS",209,4.2,14.5,7.8,3.9,105.5,  3.12 
Lima beans,92,8.6,37.1,12.7,11.2,,2.53
 Lima beans  ,186,  3.8 ,9.6,  12.0 ,,  5.4 ,2.25
Lima beans,227,,,3.2,  4.5 ,119.4,2.08
"mixed vegetables, peas & carrots",240,7.0,35.9,15.7,5.0,3.0,1.36
"Mixed vegetables, peas & carrots",77,4.1,,3.3,5.7,31.6,3.53
"mixed vegetables, carrots, peas, corn, green beans",340,2.5,35.7,19.3,7.1,5.0,3.99
"MIXED VEGETABLES, BROCCOLI, CAULIFLOWER, CARROTS",185,5.9,5.0,15.5,6.7,16.6,4.09
"Mushrooms, whole",,2.7,21.0,14.1,0.2,107.5,3.93
"MUSHROOMS, SLICED",115,4.0,34.5,16.8,4.6,110.6,4.48
 Mustard greens  ,  284 ,,,  11.5 ,N/A,107.2,0.67
Mustard greens,222,4.9,14.1,,4.0,24.4,3.1
navy beans,262,6.0,39.0,,8.3,N/A,
Navy beans,  226 ,4.1,36.4,  8.4 ,9.0,  69.2 ,  2.43 
 Okra  ,113,0.6,15.6,0.0,  3.1 ,108.7,4.81
Okra,161,  6.3 ,26.5,,10.1,44.0,1.52
Olives,35,6.2,37.6,2.6,N/A,,1.13
Onions,344,3.3,21.0,2.8,0.0,unknown,0.17
Pinto beans,32,  4.1 ,21.1,3.8,11.7,114.1,4.1
 Pinto beans  ,313,5.8,12.8,,,79.4,  2.7 
Potatoes,284,9.7,,18.6,5.4,,1.14
"Potatoes, french fries",38,  1.4 ,,13.2,9.8,113.1,0.64
potatoes,113,5.9,,11.0,unknown,90.1,3.9
Pumpkin,  40 ,7.8,21.7,1.9,9.6,24.2,
Radish,297,6.4,,,0.8,36.8,1.48
Red peppers,245,0.7,5.7,16.8,6.1,27.3,3.17
"spinach, boiled",238,5.7,25.7,11.6,7.4,109.4,0.87
"Spinach, eaten raw",  102 ,  9.3 ,,4.1,0.3,60.0,unknown
Spinach,14,3.1,14.6,,5.9,12.1,4.34
SPINACH,12,3.1,9.6,12.7,2.5,,1.46
sweet potatoes,241,3.9,21.3,6.3,5.9,5.4,4.67
" tomatoes, grape & cherry  ",112,1.3,15.4,9.1,0.7,47.3,0.98
"Tomatoes, roma & plum",,10.0,17.9,18.6,9.5,,0.21
"TOMATOES, LARGE ROUND",,7.1,,10.0,3.5,44.0,2.68
Tomatoes,338,1.4,2.6,15.4,11.2,---,4.47
turnip greens,305,4.6,2.0,16.0,8.4,104.2,4.53
Turnip greens,11,N/A,39.7,14.1,unknown,  39.6 ,4.49
turnip greens,320,4.6,  2.7 ,,0.6,105.3,1.87
Zucchini,186,,34.7,7.3,4.3,124.9,0.17
